Ref,Mid X,Mid Y,Rotation,Side
R35,65.052,-211.7363,90,top
R36,67.592,-226.822,-90,top
R37,68.5064,-211.7363,90,top
R38,70.132,-226.822,-90,top
R39,71.0464,-211.7363,90,top
R40,72.672,-226.822,-90,top
R41,73.5864,-211.7363,90,top
R42,75.212,-226.822,-90,top
R43,76.1264,-211.7363,90,top
R44,78.768,-226.822,-90,top
R45,79.53,-211.7363,90,top
R46,81.308,-226.822,-90,top
R47,82.07,-211.7363,90,top
R48,83.848,-226.822,-90,top
R49,84.61,-211.7363,90,top
R50,86.388,-226.822,-90,top
R51,87.15,-211.7363,90,top
R52,89.944,-226.822,-90,top
R53,90.6044,-211.7363,90,top
R54,92.484,-226.822,-90,top
R55,93.1444,-211.7363,90,top
R56,95.024,-226.822,-90,top
R57,95.6844,-211.7363,90,top
R58,97.564,-226.822,-90,top
R59,98.2244,-211.7363,90,top
R60,101.12,-226.822,-90,top
R61,101.628,-211.7363,90,top
R62,103.66,-226.822,-90,top
R63,104.168,-211.7363,90,top
R64,106.2,-226.822,-90,top
R65,106.708,-211.7363,90,top
R66,108.74,-226.822,-90,top
R67,109.248,-211.7363,90,top
R68,112.296,-226.822,-90,top
R69,112.6816,-211.7363,90,top
R70,114.836,-226.822,-90,top
R71,115.1916,-211.7363,90,top
R72,117.376,-226.822,-90,top
R73,117.7316,-211.7363,90,top
R74,119.916,-226.822,-90,top
R75,120.2716,-211.7363,90,top
R76,123.472,-226.822,-90,top
R77,123.726,-211.7363,90,top
R78,126.012,-226.822,-90,top
R79,126.266,-211.7363,90,top
R80,128.552,-226.822,-90,top
R81,128.806,-211.7363,90,top
R82,131.092,-226.822,-90,top
R83,131.346,-211.7363,90,top
R84,134.648,-226.822,-90,top
R85,134.7496,-211.7363,90,top
R86,137.188,-226.822,-90,top
R87,137.2896,-211.7363,90,top
R88,139.728,-226.822,-90,top
R89,139.8296,-211.7363,90,top
R90,142.268,-226.822,-90,top
R91,142.3696,-211.7363,90,top
R92,145.824,-226.822,-90,top
R93,145.824,-211.7363,90,top
R94,148.364,-226.822,-90,top
R95,148.364,-211.7363,90,top
R96,150.904,-226.822,-90,top
R97,150.904,-211.7363,90,top
R98,153.444,-226.822,-90,top
R99,153.444,-211.7363,90,top
R100,49.2012,-142.3215,90,top
R101,33.7072,-126.0147,90,top
R102,33.758,-142.3215,-90,top
R103,116.2095,-163.324,180,top
R104,100.4095,-163.197,0,top
R105,67.286,-142.3215,90,top
R106,67.286,-126.0147,90,top
R107,78.8176,-142.3215,90,top
R108,78.8684,-126.0147,90,top
R109,90.4508,-126.0147,90,top
R110,90.5016,-142.3215,90,top
R111,95.6832,-142.3215,90,top
R112,95.602,-126.0147,90,top
R113,139.097,-165.542,-90,top
R114,139.097,-160.922,-90,top
R115,139.097,-156.302,-90,top
R116,134.897,-167.602,180,top
R117,134.897,-155.102,180,top
R118,126.697,-162.402,0,top
R119,126.697,-165.202,180,top
R120,122.5845,-162.402,180,top
R121,147.4485,-168.052,180,top
R122,139.097,-151.682,-90,top
R123,139.097,-147.062,-90,top
R124,139.097,-142.442,-90,top
R125,134.897,-152.602,180,top
R126,134.8845,-140.694,180,top
R127,126.697,-148.602,0,top
R128,126.6845,-151.302,180,top
R129,122.5095,-148.602,180,top
R130,147.461,-153.952,180,top
R131,115.292,-122.469,180,top
R132,115.292,-127.359,180,top
R133,129.008,-120.12,0,top
R134,129.0695,-128.731,0,top
R135,37.7204,-126.0655,90,top
R136,37.6696,-142.3215,90,top
R137,21.058,-167.11,180,top
R138,35.536,-167.11,0,top
R139,21.058,-169.65,180,top
R140,35.536,-169.65,0,top
R141,21.058,-172.19,180,top
